고유 번호,자격구분명,계열명,종목명,상세분야,언어,급수
2789,일학습병행자격,L5,공연무대제작,,,
2790,일학습병행자격,L5,공연연출,,,
2791,일학습병행자격,L5,공연조명,,,
2792,일학습병행자격,L5,공연하우스매니징,,,
2793,일학습병행자격,L3,과수재배,,,
2794,일학습병행자격,L5,광고제작,,,
2795,일학습병행자격,L3,광산보안·화약류관리,,,
2796,일학습병행자격,L3,광산조사·탐사,,,
2797,일학습병행자격,L5,광산조사·탐사,,,
2798,일학습병행자격,L5,교통계획설계,,,
2799,일학습병행자격,L2,구조물해체,,,
2800,일학습병행자격,L2,귀금속가공,,,
2801,일학습병행자격,L3,금속공예,,,
2802,일학습병행자격,L2,금속도장,,,
2803,일학습병행자격,L4,금속도장,,,
2804,일학습병행자격,L5,금속재료설계,,,
2805,일학습병행자격,L6,IT프로젝트관리,,,
2806,일학습병행자격,L6,디지털디자인디렉터,,,
2807,국가기술자격,기사,바이오화학제품제조산업기사,,,
2808,일학습병행자격,L2,소방시설관리,점검,,
2809,일학습병행자격,L2,세무·회계정보관리,,,
2810,일학습병행자격,L3,사회복지서비스,,,
2811,일학습병행자격,L5,토목시공관리,,,
2812,일학습병행자격,L5,건축설계,,,
2813,일학습병행자격,L3,지게차정비,,,
2814,일학습병행자격,L2,선박의장,,,
2815,일학습병행자격,L3,기계경비,,,
2816,일학습병행자격,L3,기능성정밀화학제품제조,,,
2817,일학습병행자격,L5,기능성정밀화학제품제조,,,
2818,일학습병행자격,L5,기업교육,,,
2819,일학습병행자격,L5,기업재난관리,,,
2820,일학습병행자격,L3,기와문화재보수,,,
2821,일학습병행자격,L5,기초석유화학제품제조,,,
2822,일학습병행자격,L3,나전칠기,,,
2823,일학습병행자격,L2,냉동공조설치,,,
2824,일학습병행자격,L5,냉동공조운영관리,,,
2825,일학습병행자격,L5,농업환경개선,,,
2826,일학습병행자격,L2,농촌체험,,,
2827,일학습병행자격,L5,농촌체험,,,
2828,일학습병행자격,L4,단위화훼장식,,,
2829,일학습병행자격,L3,단청문화재보수,,,
2830,일학습병행자격,L2,도로장비조종,,,
2831,일학습병행자격,L3,도료제조,,,
2832,일학습병행자격,L5,도료제조,,,
2833,일학습병행자격,L3,도자공예,,,
2834,일학습병행자격,L4,동력기계설치·정비,,,
2835,일학습병행자격,L3,돼지사육,,,
2836,일학습병행자격,L5,로봇기구개발,,,
2837,일학습병행자격,L5,로봇소프트웨어개발,,,
2838,일학습병행자격,L5,로봇제어기하드웨어개발,,,
2839,일학습병행자격,L3,만화제작,,,
2840,일학습병행자격,L3,말사육,,,
2841,일학습병행자격,L2,메이크업디자인,,,
2842,일학습병행자격,L3,메이크업디자인,,,
2843,일학습병행자격,L2,면류제조,,,
2844,일학습병행자격,L3,목공예,,,
2845,일학습병행자격,L2,목재가공,,,
2846,일학습병행자격,L3,목조문화재보수,,,
2847,일학습병행자격,L3,무대영상,,,
2848,일학습병행자격,L5,무대영상,,,
2849,일학습병행자격,L5,문헌정보관리,,,
2850,일학습병행자격,L5,문화예술경영,,,
2851,일학습병행자격,L5,환경디자인,,,
2852,일학습병행자격,L3,보안경비,,,
2853,일학습병행자격,L2,자동차정비,,,
2854,일학습병행자격,L4,세라믹제조,,,
2855,일학습병행자격,L3,섬유염색가공,,,
2856,일학습병행자격,L4,패션제품유통,,,
2857,일학습병행자격,L5,전기설계,,,
2858,일학습병행자격,L2,전기시공,,,
2859,일학습병행자격,L2,자동제어기기제작,,,
2860,일학습병행자격,L4,전자기기서비스,,,
2861,일학습병행자격,L3,전자기기하드웨어개발,,,
2862,일학습병행자격,L3,반도체장비조립,,,
2863,일학습병행자격,L3,반도체제조운영,,,
2864,일학습병행자격,L4,디스플레이개발,,,
2865,일학습병행자격,L3,SW개발,,,
2866,일학습병행자격,L5,총무·인사,,,
