고유 번호,자격구분코드,자격구분명,계열명,종목명,상세분야,언어,버전,급수,공통유무
326,T,국가기술자격,기사,전기철도기사,,,,,
327,T,국가기술자격,기사,건설기계정비산업기사,,,,,
328,T,국가기술자격,기사,기계설계산업기사,,,,,
329,T,국가기술자격,기사,건설재료시험기사,,,,,
330,T,국가기술자격,기사,교통기사,,,,,
331,T,국가기술자격,기사,철도토목기사,,,,,
332,T,국가기술자격,기사,자동화설비산업기사,,,,,
333,T,국가기술자격,기사,설비보전산업기사,,,,,
334,T,국가기술자격,기사,임상심리사,,,,1급,
335,T,국가기술자격,기사,임상심리사,,,,2급,
336,T,국가기술자격,기사,텔레마케팅관리사,,,,,
337,T,국가기술자격,기사,멀티미디어콘텐츠제작전문가,,,,,
338,T,국가기술자격,기술사,전자응용기술사,,,,,
339,T,국가기술자격,기술사,발송배전기술사,,,,,
340,T,국가기술자격,기술사,소방기술사,,,,,
341,T,국가기술자격,기능사,천장크레인운전기능사,,,,,
342,T,국가기술자격,기능사,선박기관정비기능사,,,,,
