고유 번호,자격구분코드,자격구분명,계열명,종목명,상세분야,언어,버전,급수,공통유무
666,W,일학습병행자격,L3,컨벤션기획,,,ver2.0,,
667,W,일학습병행자격,L5,컨벤션기획,,,ver2.0,,
668,W,일학습병행자격,L3,여행안내,,,ver2.0,,
669,W,일학습병행자격,L5,여행상품기획,,,ver2.0,,
670,W,일학습병행자격,L3,항공객실서비스,,,ver2.0,,
671,W,일학습병행자격,L3,호텔객실서비스,,,ver2.0,,
672,W,일학습병행자격,L3,호텔식음료서비스,,,ver2.0,,
673,W,일학습병행자격,L5,호텔관리,,,ver2.0,,
674,W,일학습병행자격,L3,퍼스널트레이닝,,,ver2.0,,
675,W,일학습병행자격,L4,피트니스건강관리,,,ver2.0,,
676,W,일학습병행자격,L3,건강운동체형관리,,,ver2.0,,
677,W,일학습병행자격,L4,스포츠클럽관리,,,ver2.0,,
678,W,일학습병행자격,L3,여가레크리에이션지도,,,ver2.0,,
679,W,일학습병행자격,L3,스포츠관광플래닝,,,ver2.0,,
680,W,일학습병행자격,L2,한식조리,,,ver2.0,,
681,W,일학습병행자격,L4,한식조리,,,ver2.0,,
682,W,일학습병행자격,L2,양식조리,,,ver2.0,,
683,W,일학습병행자격,L4,양식조리,,,ver2.0,,
684,W,일학습병행자격,L2,중식조리,,,ver2.0,,
685,W,일학습병행자격,L4,중식조리,,,ver2.0,,
686,W,일학습병행자격,L2,일식조리,,,ver2.0,,
687,W,일학습병행자격,L4,일식조리,,,ver2.0,,
688,W,일학습병행자격,L2,복어조리,,,ver2.0,,
689,W,일학습병행자격,L4,복어조리,,,ver2.0,,
690,W,일학습병행자격,L3,식음료서비스,,,ver2.0,,
691,C,과정평가형자격,기능사,귀금속가공기능사,,,,,
692,W,일학습병행자격,L3,CNC밀링가공,,,ver2.0,,
693,W,일학습병행자격,L2,밀링가공,,,20V1,,
694,W,일학습병행자격,L3,연삭가공,,,20V1,,
